¥˙¬Î,ºÚ≥∆,»’∆⁄, ’≈Ãº€(‘™),
600760.SH,÷–∫Ω…Ú∑…,19961011,5.3009,
600760.SH,÷–∫Ω…Ú∑…,19961014,5.2806,
600760.SH,÷–∫Ω…Ú∑…,19961015,5.2969,
600760.SH,÷–∫Ω…Ú∑…,19961016,5.8066,
600760.SH,÷–∫Ω…Ú∑…,19961017,6.0145,
600760.SH,÷–∫Ω…Ú∑…,19961018,5.7087,
600760.SH,÷–∫Ω…Ú∑…,19961021,5.5293,
600760.SH,÷–∫Ω…Ú∑…,19961022,5.4539,
600760.SH,÷–∫Ω…Ú∑…,19961023,5.4946,
600760.SH,÷–∫Ω…Ú∑…,19961024,5.4233,
600760.SH,÷–∫Ω…Ú∑…,19961025,5.4355,
600760.SH,÷–∫Ω…Ú∑…,19961028,5.4539,
600760.SH,÷–∫Ω…Ú∑…,19961029,5.7087,
600760.SH,÷–∫Ω…Ú∑…,19961030,5.5252,
600760.SH,÷–∫Ω…Ú∑…,19961031,5.5558,
600760.SH,÷–∫Ω…Ú∑…,19961101,5.3417,
600760.SH,÷–∫Ω…Ú∑…,19961104,5.3621,
600760.SH,÷–∫Ω…Ú∑…,19961105,5.2398,
600760.SH,÷–∫Ω…Ú∑…,19961106,5.2214,
600760.SH,÷–∫Ω…Ú∑…,19961107,5.25,
600760.SH,÷–∫Ω…Ú∑…,19961108,5.2255,
600760.SH,÷–∫Ω…Ú∑…,19961111,5.2072,
600760.SH,÷–∫Ω…Ú∑…,19961112,5.1807,
600760.SH,÷–∫Ω…Ú∑…,19961113,5.2969,
600760.SH,÷–∫Ω…Ú∑…,19961114,5.2602,
600760.SH,÷–∫Ω…Ú∑…,19961115,5.3621,
600760.SH,÷–∫Ω…Ú∑…,19961118,5.4233,
600760.SH,÷–∫Ω…Ú∑…,19961119,5.4131,
600760.SH,÷–∫Ω…Ú∑…,19961120,5.4029,
600760.SH,÷–∫Ω…Ú∑…,19961121,5.1786,
600760.SH,÷–∫Ω…Ú∑…,19961122,5.1786,
600760.SH,÷–∫Ω…Ú∑…,19961125,5.1011,
600760.SH,÷–∫Ω…Ú∑…,19961126,5.0971,
600760.SH,÷–∫Ω…Ú∑…,19961127,5.1378,
600760.SH,÷–∫Ω…Ú∑…,19961128,5.2194,
600760.SH,÷–∫Ω…Ú∑…,19961129,5.356,
600760.SH,÷–∫Ω…Ú∑…,19961202,5.4742,
600760.SH,÷–∫Ω…Ú∑…,19961203,5.464,
600760.SH,÷–∫Ω…Ú∑…,19961204,5.6679,
600760.SH,÷–∫Ω…Ú∑…,19961205,5.6679,
600760.SH,÷–∫Ω…Ú∑…,19961206,5.5762,
600760.SH,÷–∫Ω…Ú∑…,19961209,5.7495,
600760.SH,÷–∫Ω…Ú∑…,19961210,6.5405,
600760.SH,÷–∫Ω…Ú∑…,19961211,6.514,
600760.SH,÷–∫Ω…Ú∑…,19961212,6.0308,
600760.SH,÷–∫Ω…Ú∑…,19961213,5.8229,
600760.SH,÷–∫Ω…Ú∑…,19961216,5.2418,
600760.SH,÷–∫Ω…Ú∑…,19961217,4.8932,
600760.SH,÷–∫Ω…Ú∑…,19961218,5.3825,
600760.SH,÷–∫Ω…Ú∑…,19961219,5.3009,
600760.SH,÷–∫Ω…Ú∑…,19961220,5.3009,
600760.SH,÷–∫Ω…Ú∑…,19961223,5.3417,
600760.SH,÷–∫Ω…Ú∑…,19961224,5.2194,
600760.SH,÷–∫Ω…Ú∑…,19961225,5.3723,
600760.SH,÷–∫Ω…Ú∑…,19961226,5.4131,
600760.SH,÷–∫Ω…Ú∑…,19961227,5.4233,
600760.SH,÷–∫Ω…Ú∑…,19961230,5.4355,
600760.SH,÷–∫Ω…Ú∑…,19961231,5.3641,
600760.SH,÷–∫Ω…Ú∑…,19970102,5.2398,
600760.SH,÷–∫Ω…Ú∑…,19970103,5.4233,
600760.SH,÷–∫Ω…Ú∑…,19970106,5.3825,
600760.SH,÷–∫Ω…Ú∑…,19970107,5.4253,
600760.SH,÷–∫Ω…Ú∑…,19970108,5.5823,
600760.SH,÷–∫Ω…Ú∑…,19970109,5.5252,
600760.SH,÷–∫Ω…Ú∑…,19970110,5.5517,
600760.SH,÷–∫Ω…Ú∑…,19970113,5.5578,
600760.SH,÷–∫Ω…Ú∑…,19970114,5.4437,
600760.SH,÷–∫Ω…Ú∑…,19970115,5.5007,
600760.SH,÷–∫Ω…Ú∑…,19970116,5.4926,
600760.SH,÷–∫Ω…Ú∑…,19970117,5.5334,
600760.SH,÷–∫Ω…Ú∑…,19970120,5.5252,
600760.SH,÷–∫Ω…Ú∑…,19970121,5.5436,
600760.SH,÷–∫Ω…Ú∑…,19970122,5.5966,
600760.SH,÷–∫Ω…Ú∑…,19970123,5.6272,
600760.SH,÷–∫Ω…Ú∑…,19970124,5.6842,
600760.SH,÷–∫Ω…Ú∑…,19970127,5.6802,
600760.SH,÷–∫Ω…Ú∑…,19970128,5.6475,
600760.SH,÷–∫Ω…Ú∑…,19970129,5.6475,
600760.SH,÷–∫Ω…Ú∑…,19970130,5.6475,
600760.SH,÷–∫Ω…Ú∑…,19970131,5.7087,
600760.SH,÷–∫Ω…Ú∑…,19970217,5.8514,
600760.SH,÷–∫Ω…Ú∑…,19970218,5.3009,
600760.SH,÷–∫Ω…Ú∑…,19970219,5.6679,
600760.SH,÷–∫Ω…Ú∑…,19970220,5.4844,
600760.SH,÷–∫Ω…Ú∑…,19970221,5.6231,
600760.SH,÷–∫Ω…Ú∑…,19970224,5.6842,
600760.SH,÷–∫Ω…Ú∑…,19970225,5.6781,
600760.SH,÷–∫Ω…Ú∑…,19970226,5.7413,
600760.SH,÷–∫Ω…Ú∑…,19970227,5.7699,
600760.SH,÷–∫Ω…Ú∑…,19970228,5.7903,
600760.SH,÷–∫Ω…Ú∑…,19970303,5.8922,
600760.SH,÷–∫Ω…Ú∑…,19970304,5.8106,
600760.SH,÷–∫Ω…Ú∑…,19970305,6.1165,
600760.SH,÷–∫Ω…Ú∑…,19970306,6.4427,
600760.SH,÷–∫Ω…Ú∑…,19970307,6.3815,
600760.SH,÷–∫Ω…Ú∑…,19970310,6.6649,
600760.SH,÷–∫Ω…Ú∑…,19970311,6.7648,
600760.SH,÷–∫Ω…Ú∑…,19970312,7.0136,
600760.SH,÷–∫Ω…Ú∑…,19970313,6.881,
600760.SH,÷–∫Ω…Ú∑…,19970314,7.5702,
600760.SH,÷–∫Ω…Ú∑…,19970317,7.6986,
600760.SH,÷–∫Ω…Ú∑…,19970318,7.564,
600760.SH,÷–∫Ω…Ú∑…,19970319,7.8087,
600760.SH,÷–∫Ω…Ú∑…,19970320,7.5844,
600760.SH,÷–∫Ω…Ú∑…,19970321,7.7679,
600760.SH,÷–∫Ω…Ú∑…,19970324,8.1757,
600760.SH,÷–∫Ω…Ú∑…,19970325,8.1043,
600760.SH,÷–∫Ω…Ú∑…,19970326,8.1512,
600760.SH,÷–∫Ω…Ú∑…,19970327,8.1349,
600760.SH,÷–∫Ω…Ú∑…,19970328,7.9106,
600760.SH,÷–∫Ω…Ú∑…,19970331,8.0126,
600760.SH,÷–∫Ω…Ú∑…,19970401,7.8903,
600760.SH,÷–∫Ω…Ú∑…,19970402,7.9412,
600760.SH,÷–∫Ω…Ú∑…,19970403,8.1818,
600760.SH,÷–∫Ω…Ú∑…,19970404,8.561,
600760.SH,÷–∫Ω…Ú∑…,19970407,8.9647,
600760.SH,÷–∫Ω…Ú∑…,19970408,8.8974,
600760.SH,÷–∫Ω…Ú∑…,19970409,9.3378,
600760.SH,÷–∫Ω…Ú∑…,19970410,9.3174,
600760.SH,÷–∫Ω…Ú∑…,19970411,9.2767,
600760.SH,÷–∫Ω…Ú∑…,19970414,9.2461,
600760.SH,÷–∫Ω…Ú∑…,19970415,9.3541,
600760.SH,÷–∫Ω…Ú∑…,19970416,9.3684,
600760.SH,÷–∫Ω…Ú∑…,19970417,9.3786,
600760.SH,÷–∫Ω…Ú∑…,19970418,9.3786,
600760.SH,÷–∫Ω…Ú∑…,19970421,9.2603,
600760.SH,÷–∫Ω…Ú∑…,19970422,9.1502,
600760.SH,÷–∫Ω…Ú∑…,19970423,9.5702,
600760.SH,÷–∫Ω…Ú∑…,19970424,10.1737,
600760.SH,÷–∫Ω…Ú∑…,19970425,11.03,
600760.SH,÷–∫Ω…Ú∑…,19970428,11.2849,
600760.SH,÷–∫Ω…Ú∑…,19970429,10.6529,
600760.SH,÷–∫Ω…Ú∑…,19970430,10.8996,
600760.SH,÷–∫Ω…Ú∑…,19970505,11.1279,
600760.SH,÷–∫Ω…Ú∑…,19970506,11.5499,
600760.SH,÷–∫Ω…Ú∑…,19970507,11.3664,
600760.SH,÷–∫Ω…Ú∑…,19970508,10.9893,
600760.SH,÷–∫Ω…Ú∑…,19970509,11.2095,
600760.SH,÷–∫Ω…Ú∑…,19970512,10.9893,
600760.SH,÷–∫Ω…Ú∑…,19970513,10.6834,
600760.SH,÷–∫Ω…Ú∑…,19970514,10.031,
600760.SH,÷–∫Ω…Ú∑…,19970515,10.3735,
600760.SH,÷–∫Ω…Ú∑…,19970516,9.399,
600760.SH,÷–∫Ω…Ú∑…,19970519,9.5825,
600760.SH,÷–∫Ω…Ú∑…,19970520,10.5407,
600760.SH,÷–∫Ω…Ú∑…,19970521,10.7038,
600760.SH,÷–∫Ω…Ú∑…,19970522,9.8271,
600760.SH,÷–∫Ω…Ú∑…,19970523,10.1941,
600760.SH,÷–∫Ω…Ú∑…,19970526,10.1941,
600760.SH,÷–∫Ω…Ú∑…,19970527,10.2349,
600760.SH,÷–∫Ω…Ú∑…,19970528,10.2961,
600760.SH,÷–∫Ω…Ú∑…,19970529,10.8323,
600760.SH,÷–∫Ω…Ú∑…,19970530,10.6019,
600760.SH,÷–∫Ω…Ú∑…,19970602,10.5815,
600760.SH,÷–∫Ω…Ú∑…,19970603,10.3246,
600760.SH,÷–∫Ω…Ú∑…,19970604,11.2176,
600760.SH,÷–∫Ω…Ú∑…,19970605,11.9067,
600760.SH,÷–∫Ω…Ú∑…,19970606,11.8863,
600760.SH,÷–∫Ω…Ú∑…,19970609,11.8456,
600760.SH,÷–∫Ω…Ú∑…,19970610,11.3277,
600760.SH,÷–∫Ω…Ú∑…,19970611,10.8873,
600760.SH,÷–∫Ω…Ú∑…,19970612,10.8873,
600760.SH,÷–∫Ω…Ú∑…,19970613,11.1116,
600760.SH,÷–∫Ω…Ú∑…,19970616,11.2543,
600760.SH,÷–∫Ω…Ú∑…,19970617,11.0912,
600760.SH,÷–∫Ω…Ú∑…,19970618,10.9281,
600760.SH,÷–∫Ω…Ú∑…,19970619,10.8669,
600760.SH,÷–∫Ω…Ú∑…,19970620,11.4786,
600760.SH,÷–∫Ω…Ú∑…,19970623,11.817,
600760.SH,÷–∫Ω…Ú∑…,19970624,11.9271,
600760.SH,÷–∫Ω…Ú∑…,19970625,11.9067,
600760.SH,÷–∫Ω…Ú∑…,19970626,11.972,
600760.SH,÷–∫Ω…Ú∑…,19970627,11.7396,
600760.SH,÷–∫Ω…Ú∑…,19970702,11.2543,
600760.SH,÷–∫Ω…Ú∑…,19970703,10.8465,
600760.SH,÷–∫Ω…Ú∑…,19970704,10.9077,
600760.SH,÷–∫Ω…Ú∑…,19970707,10.2145,
600760.SH,÷–∫Ω…Ú∑…,19970708,10.3083,
600760.SH,÷–∫Ω…Ú∑…,19970709,10.5244,
600760.SH,÷–∫Ω…Ú∑…,19970710,10.5203,
600760.SH,÷–∫Ω…Ú∑…,19970711,10.6508,
600760.SH,÷–∫Ω…Ú∑…,19970714,10.7079,
600760.SH,÷–∫Ω…Ú∑…,19970715,11.2543,
600760.SH,÷–∫Ω…Ú∑…,19970716,10.8465,
600760.SH,÷–∫Ω…Ú∑…,19970717,10.9689,
600760.SH,÷–∫Ω…Ú∑…,19970718,11.0137,
600760.SH,÷–∫Ω…Ú∑…,19970721,10.6019,
600760.SH,÷–∫Ω…Ú∑…,19970722,10.9363,
600760.SH,÷–∫Ω…Ú∑…,19970723,10.8873,
600760.SH,÷–∫Ω…Ú∑…,19970724,10.6427,
600760.SH,÷–∫Ω…Ú∑…,19970725,10.6019,
600760.SH,÷–∫Ω…Ú∑…,19970728,10.2961,
600760.SH,÷–∫Ω…Ú∑…,19970729,10.1533,
600760.SH,÷–∫Ω…Ú∑…,19970730,10.2349,
600760.SH,÷–∫Ω…Ú∑…,19970731,10.5856,
600760.SH,÷–∫Ω…Ú∑…,19970801,10.9689,
600760.SH,÷–∫Ω…Ú∑…,19970804,10.8384,
600760.SH,÷–∫Ω…Ú∑…,19970805,10.8914,
600760.SH,÷–∫Ω…Ú∑…,19970806,10.6345,
600760.SH,÷–∫Ω…Ú∑…,19970807,10.6916,
600760.SH,÷–∫Ω…Ú∑…,19970808,10.7731,
600760.SH,÷–∫Ω…Ú∑…,19970811,10.5163,
600760.SH,÷–∫Ω…Ú∑…,19970812,10.3572,
600760.SH,÷–∫Ω…Ú∑…,19970813,10.133,
600760.SH,÷–∫Ω…Ú∑…,19970814,10.4551,
600760.SH,÷–∫Ω…Ú∑…,19970815,10.1941,
600760.SH,÷–∫Ω…Ú∑…,19970818,10.1533,
600760.SH,÷–∫Ω…Ú∑…,19970819,10.1778,
600760.SH,÷–∫Ω…Ú∑…,19970820,10.137,
600760.SH,÷–∫Ω…Ú∑…,19970821,10.2145,
600760.SH,÷–∫Ω…Ú∑…,19970822,10.4062,
600760.SH,÷–∫Ω…Ú∑…,19970825,10.4021,
600760.SH,÷–∫Ω…Ú∑…,19970826,10.6834,
600760.SH,÷–∫Ω…Ú∑…,19970827,10.5815,
600760.SH,÷–∫Ω…Ú∑…,19970828,10.4388,
600760.SH,÷–∫Ω…Ú∑…,19970829,10.3695,
600760.SH,÷–∫Ω…Ú∑…,19970901,10.3817,
600760.SH,÷–∫Ω…Ú∑…,19970902,10.4388,
600760.SH,÷–∫Ω…Ú∑…,19970903,10.6427,
600760.SH,÷–∫Ω…Ú∑…,19970904,10.6427,
600760.SH,÷–∫Ω…Ú∑…,19970905,10.5326,
600760.SH,÷–∫Ω…Ú∑…,19970908,10.4306,
600760.SH,÷–∫Ω…Ú∑…,19970909,10.3572,
600760.SH,÷–∫Ω…Ú∑…,19970910,10.3368,
600760.SH,÷–∫Ω…Ú∑…,19970911,10.606,
600760.SH,÷–∫Ω…Ú∑…,19970912,10.3776,
600760.SH,÷–∫Ω…Ú∑…,19970915,10.1941,
600760.SH,÷–∫Ω…Ú∑…,19970916,10.2431,
600760.SH,÷–∫Ω…Ú∑…,19970917,10.186,
600760.SH,÷–∫Ω…Ú∑…,19970918,10.1941,
600760.SH,÷–∫Ω…Ú∑…,19970919,10.2471,
600760.SH,÷–∫Ω…Ú∑…,19970922,9.7048,
600760.SH,÷–∫Ω…Ú∑…,19970923,8.9301,
600760.SH,÷–∫Ω…Ú∑…,19970924,9.5417,
600760.SH,÷–∫Ω…Ú∑…,19970925,9.399,
600760.SH,÷–∫Ω…Ú∑…,19970926,9.3174,
600760.SH,÷–∫Ω…Ú∑…,19970929,9.1951,
600760.SH,÷–∫Ω…Ú∑…,19970930,9.3174,
600760.SH,÷–∫Ω…Ú∑…,19971006,9.1747,
600760.SH,÷–∫Ω…Ú∑…,19971007,9.0932,
600760.SH,÷–∫Ω…Ú∑…,19971008,9.4031,
600760.SH,÷–∫Ω…Ú∑…,19971009,9.3378,
600760.SH,÷–∫Ω…Ú∑…,19971010,9.3378,
600760.SH,÷–∫Ω…Ú∑…,19971013,9.2726,
600760.SH,÷–∫Ω…Ú∑…,19971014,9.1747,
600760.SH,÷–∫Ω…Ú∑…,19971015,9.3378,
600760.SH,÷–∫Ω…Ú∑…,19971016,9.8067,
600760.SH,÷–∫Ω…Ú∑…,19971017,10.5733,
600760.SH,÷–∫Ω…Ú∑…,19971020,10.5203,
600760.SH,÷–∫Ω…Ú∑…,19971021,10.6427,
600760.SH,÷–∫Ω…Ú∑…,19971022,10.5407,
600760.SH,÷–∫Ω…Ú∑…,19971023,10.4999,
600760.SH,÷–∫Ω…Ú∑…,19971024,10.4429,
600760.SH,÷–∫Ω…Ú∑…,19971027,10.8955,
600760.SH,÷–∫Ω…Ú∑…,19971028,10.4714,
600760.SH,÷–∫Ω…Ú∑…,19971029,10.4143,
600760.SH,÷–∫Ω…Ú∑…,19971030,10.5203,
600760.SH,÷–∫Ω…Ú∑…,19971031,10.4102,
600760.SH,÷–∫Ω…Ú∑…,19971103,10.553,
600760.SH,÷–∫Ω…Ú∑…,19971104,10.5733,
600760.SH,÷–∫Ω…Ú∑…,19971105,10.6631,
600760.SH,÷–∫Ω…Ú∑…,19971106,10.606,
600760.SH,÷–∫Ω…Ú∑…,19971107,10.8873,
600760.SH,÷–∫Ω…Ú∑…,19971110,10.765,
600760.SH,÷–∫Ω…Ú∑…,19971111,10.5897,
600760.SH,÷–∫Ω…Ú∑…,19971112,10.5122,
600760.SH,÷–∫Ω…Ú∑…,19971113,10.5163,
600760.SH,÷–∫Ω…Ú∑…,19971114,10.5448,
600760.SH,÷–∫Ω…Ú∑…,19971117,10.6019,
600760.SH,÷–∫Ω…Ú∑…,19971118,10.4714,
600760.SH,÷–∫Ω…Ú∑…,19971119,10.4388,
600760.SH,÷–∫Ω…Ú∑…,19971120,10.2961,
600760.SH,÷–∫Ω…Ú∑…,19971121,10.1452,
600760.SH,÷–∫Ω…Ú∑…,19971124,9.766,
600760.SH,÷–∫Ω…Ú∑…,19971125,9.713,
600760.SH,÷–∫Ω…Ú∑…,19971126,9.9495,
600760.SH,÷–∫Ω…Ú∑…,19971127,9.713,
600760.SH,÷–∫Ω…Ú∑…,19971128,9.7823,
600760.SH,÷–∫Ω…Ú∑…,19971201,9.7619,
600760.SH,÷–∫Ω…Ú∑…,19971202,9.7456,
600760.SH,÷–∫Ω…Ú∑…,19971203,9.7048,
600760.SH,÷–∫Ω…Ú∑…,19971204,9.7986,
600760.SH,÷–∫Ω…Ú∑…,19971205,9.8394,
600760.SH,÷–∫Ω…Ú∑…,19971208,10.0106,
600760.SH,÷–∫Ω…Ú∑…,19971209,10.3776,
600760.SH,÷–∫Ω…Ú∑…,19971210,10.5937,
600760.SH,÷–∫Ω…Ú∑…,19971211,10.5489,
600760.SH,÷–∫Ω…Ú∑…,19971212,10.4592,
600760.SH,÷–∫Ω…Ú∑…,19971215,10.5611,
600760.SH,÷–∫Ω…Ú∑…,19971216,10.6386,
600760.SH,÷–∫Ω…Ú∑…,19971217,10.2349,
600760.SH,÷–∫Ω…Ú∑…,19971218,10.3287,
600760.SH,÷–∫Ω…Ú∑…,19971219,10.4592,
600760.SH,÷–∫Ω…Ú∑…,19971222,10.8262,
600760.SH,÷–∫Ω…Ú∑…,19971223,10.7854,
600760.SH,÷–∫Ω…Ú∑…,19971224,10.765,
600760.SH,÷–∫Ω…Ú∑…,19971225,10.7935,
600760.SH,÷–∫Ω…Ú∑…,19971226,10.8098,
600760.SH,÷–∫Ω…Ú∑…,19971229,10.5611,
600760.SH,÷–∫Ω…Ú∑…,19971230,10.5203,
600760.SH,÷–∫Ω…Ú∑…,19971231,10.7242,
600760.SH,÷–∫Ω…Ú∑…,19980105,11.7966,
600760.SH,÷–∫Ω…Ú∑…,19980106,12.0495,
600760.SH,÷–∫Ω…Ú∑…,19980107,12.0291,
600760.SH,÷–∫Ω…Ú∑…,19980108,12.2207,
600760.SH,÷–∫Ω…Ú∑…,19980109,12.7304,
600760.SH,÷–∫Ω…Ú∑…,19980112,12.4695,
600760.SH,÷–∫Ω…Ú∑…,19980113,11.6131,
600760.SH,÷–∫Ω…Ú∑…,19980114,11.8293,
600760.SH,÷–∫Ω…Ú∑…,19980115,12.0331,
600760.SH,÷–∫Ω…Ú∑…,19980116,12.1025,
600760.SH,÷–∫Ω…Ú∑…,19980119,12.5184,
600760.SH,÷–∫Ω…Ú∑…,19980120,12.1922,
600760.SH,÷–∫Ω…Ú∑…,19980121,11.8293,
600760.SH,÷–∫Ω…Ú∑…,19980122,12.0087,
600760.SH,÷–∫Ω…Ú∑…,19980123,12.1065,
600760.SH,÷–∫Ω…Ú∑…,19980209,12.4572,
600760.SH,÷–∫Ω…Ú∑…,19980210,13.0159,
600760.SH,÷–∫Ω…Ú∑…,19980211,13.9048,
600760.SH,÷–∫Ω…Ú∑…,19980212,13.7825,
600760.SH,÷–∫Ω…Ú∑…,19980213,14.231,
600760.SH,÷–∫Ω…Ú∑…,19980216,14.2581,
600760.SH,÷–∫Ω…Ú∑…,19980217,13.9827,
600760.SH,÷–∫Ω…Ú∑…,19980218,14.2671,
600760.SH,÷–∫Ω…Ú∑…,19980219,14.2129,
600760.SH,÷–∫Ω…Ú∑…,19980220,13.924,
600760.SH,÷–∫Ω…Ú∑…,19980223,13.8969,
600760.SH,÷–∫Ω…Ú∑…,19980224,13.8156,
600760.SH,÷–∫Ω…Ú∑…,19980225,13.3641,
600760.SH,÷–∫Ω…Ú∑…,19980226,13.7705,
600760.SH,÷–∫Ω…Ú∑…,19980227,13.5673,
600760.SH,÷–∫Ω…Ú∑…,19980302,13.0887,
600760.SH,÷–∫Ω…Ú∑…,19980303,13.5447,
600760.SH,÷–∫Ω…Ú∑…,19980304,14.0188,
600760.SH,÷–∫Ω…Ú∑…,19980305,13.8066,
600760.SH,÷–∫Ω…Ú∑…,19980306,13.8924,
600760.SH,÷–∫Ω…Ú∑…,19980309,13.9962,
600760.SH,÷–∫Ω…Ú∑…,19980310,13.9285,
600760.SH,÷–∫Ω…Ú∑…,19980311,13.8111,
600760.SH,÷–∫Ω…Ú∑…,19980312,13.5808,
600760.SH,÷–∫Ω…Ú∑…,19980313,13.6576,
600760.SH,÷–∫Ω…Ú∑…,19980316,13.5402,
600760.SH,÷–∫Ω…Ú∑…,19980317,13.5899,
600760.SH,÷–∫Ω…Ú∑…,19980318,13.3551,
600760.SH,÷–∫Ω…Ú∑…,19980319,13.1835,
600760.SH,÷–∫Ω…Ú∑…,19980320,13.1655,
600760.SH,÷–∫Ω…Ú∑…,19980323,13.1203,
600760.SH,÷–∫Ω…Ú∑…,19980324,13.3641,
600760.SH,÷–∫Ω…Ú∑…,19980325,13.2287,
600760.SH,÷–∫Ω…Ú∑…,19980326,13.1023,
600760.SH,÷–∫Ω…Ú∑…,19980327,13.4905,
600760.SH,÷–∫Ω…Ú∑…,19980330,13.7976,
600760.SH,÷–∫Ω…Ú∑…,19980331,13.8653,
600760.SH,÷–∫Ω…Ú∑…,19980401,13.9059,
600760.SH,÷–∫Ω…Ú∑…,19980402,13.9195,
600760.SH,÷–∫Ω…Ú∑…,19980403,13.9466,
600760.SH,÷–∫Ω…Ú∑…,19980406,13.8608,
600760.SH,÷–∫Ω…Ú∑…,19980407,13.7163,
600760.SH,÷–∫Ω…Ú∑…,19980408,14.1542,
600760.SH,÷–∫Ω…Ú∑…,19980409,14.0459,
600760.SH,÷–∫Ω…Ú∑…,19980410,14.6735,
600760.SH,÷–∫Ω…Ú∑…,19980413,15.3101,
600760.SH,÷–∫Ω…Ú∑…,19980414,15.1882,
600760.SH,÷–∫Ω…Ú∑…,19980415,15.2604,
600760.SH,÷–∫Ω…Ú∑…,19980416,15.3733,
600760.SH,÷–∫Ω…Ú∑…,19980417,14.9444,
600760.SH,÷–∫Ω…Ú∑…,19980420,14.9444,
600760.SH,÷–∫Ω…Ú∑…,19980421,14.1001,
600760.SH,÷–∫Ω…Ú∑…,19980422,14.0865,
600760.SH,÷–∫Ω…Ú∑…,19980423,14.1317,
600760.SH,÷–∫Ω…Ú∑…,19980424,14.2039,
600760.SH,÷–∫Ω…Ú∑…,19980427,14.2084,
600760.SH,÷–∫Ω…Ú∑…,19980428,14.4477,
600760.SH,÷–∫Ω…Ú∑…,19980429,14.8089,
600760.SH,÷–∫Ω…Ú∑…,19980430,14.696,
600760.SH,÷–∫Ω…Ú∑…,19980504,14.5606,
600760.SH,÷–∫Ω…Ú∑…,19980505,14.4116,
600760.SH,÷–∫Ω…Ú∑…,19980506,14.3032,
600760.SH,÷–∫Ω…Ú∑…,19980507,13.9556,
600760.SH,÷–∫Ω…Ú∑…,19980508,14.1226,
600760.SH,÷–∫Ω…Ú∑…,19980511,13.8608,
600760.SH,÷–∫Ω…Ú∑…,19980512,13.8066,
600760.SH,÷–∫Ω…Ú∑…,19980513,14.0775,
600760.SH,÷–∫Ω…Ú∑…,19980514,13.9646,
600760.SH,÷–∫Ω…Ú∑…,19980515,14.0865,
600760.SH,÷–∫Ω…Ú∑…,19980518,13.9285,
600760.SH,÷–∫Ω…Ú∑…,19980519,14.0188,
600760.SH,÷–∫Ω…Ú∑…,19980520,13.8743,
600760.SH,÷–∫Ω…Ú∑…,19980521,13.8156,
600760.SH,÷–∫Ω…Ú∑…,19980522,13.8382,
600760.SH,÷–∫Ω…Ú∑…,19980525,13.8066,
600760.SH,÷–∫Ω…Ú∑…,19980526,13.6395,
600760.SH,÷–∫Ω…Ú∑…,19980527,13.5718,
600760.SH,÷–∫Ω…Ú∑…,19980528,13.5899,
600760.SH,÷–∫Ω…Ú∑…,19980529,14.0188,
600760.SH,÷–∫Ω…Ú∑…,19980601,13.8156,
600760.SH,÷–∫Ω…Ú∑…,19980602,13.6847,
600760.SH,÷–∫Ω…Ú∑…,19980603,13.7163,
600760.SH,÷–∫Ω…Ú∑…,19980604,13.635,
600760.SH,÷–∫Ω…Ú∑…,19980605,13.8247,
600760.SH,÷–∫Ω…Ú∑…,19980608,13.8156,
600760.SH,÷–∫Ω…Ú∑…,19980609,14.4387,
600760.SH,÷–∫Ω…Ú∑…,19980610,14.4929,
600760.SH,÷–∫Ω…Ú∑…,19980611,14.0414,
600760.SH,÷–∫Ω…Ú∑…,19980612,14.1272,
600760.SH,÷–∫Ω…Ú∑…,19980615,13.6621,
600760.SH,÷–∫Ω…Ú∑…,19980616,13.0498,
600760.SH,÷–∫Ω…Ú∑…,19980617,13.5167,
600760.SH,÷–∫Ω…Ú∑…,19980618,14.527,
600760.SH,÷–∫Ω…Ú∑…,19980619,14.3892,
600760.SH,÷–∫Ω…Ú∑…,19980622,14.1826,
600760.SH,÷–∫Ω…Ú∑…,19980623,14.0218,
600760.SH,÷–∫Ω…Ú∑…,19980624,14.3127,
600760.SH,÷–∫Ω…Ú∑…,19980625,14.0525,
600760.SH,÷–∫Ω…Ú∑…,19980626,13.9836,
600760.SH,÷–∫Ω…Ú∑…,19980629,13.7004,
600760.SH,÷–∫Ω…Ú∑…,19980630,13.4631,
600760.SH,÷–∫Ω…Ú∑…,19980701,13.2488,
600760.SH,÷–∫Ω…Ú∑…,19980702,13.1034,
600760.SH,÷–∫Ω…Ú∑…,19980703,13.3177,
600760.SH,÷–∫Ω…Ú∑…,19980706,13.0881,
600760.SH,÷–∫Ω…Ú∑…,19980707,12.9809,
600760.SH,÷–∫Ω…Ú∑…,19980708,13.0498,
600760.SH,÷–∫Ω…Ú∑…,19980709,12.912,
600760.SH,÷–∫Ω…Ú∑…,19980710,13.134,
600760.SH,÷–∫Ω…Ú∑…,19980713,12.9044,
600760.SH,÷–∫Ω…Ú∑…,19980714,12.7666,
600760.SH,÷–∫Ω…Ú∑…,19980715,12.5753,
600760.SH,÷–∫Ω…Ú∑…,19980716,12.2844,
600760.SH,÷–∫Ω…Ú∑…,19980717,11.9706,
600760.SH,÷–∫Ω…Ú∑…,19980720,11.4425,
600760.SH,÷–∫Ω…Ú∑…,19980721,12.0931,
600760.SH,÷–∫Ω…Ú∑…,19980722,11.8482,
600760.SH,÷–∫Ω…Ú∑…,19980723,11.9477,
600760.SH,÷–∫Ω…Ú∑…,19980724,12.3303,
600760.SH,÷–∫Ω…Ú∑…,19980727,11.9247,
600760.SH,÷–∫Ω…Ú∑…,19980728,11.4425,
